 course_code | career |                                           c                                           |                                         left                                          
 ADAD4010    | UG     |                                                                                       | 
 ADAD4011    | UG     |                                                                                       | 
 AERO3110    | UG     | Prerequisite: MMAN2100                                                                | (MMAN2100)
 AERO3410    | UG     | Prerequisite: MMAN2400;                                                               | (MMAN2400)
 AERO3630    | UG     | Prerequisite: MMAN2600                                                                | (MMAN2600)
 AERO3660    | UG     | Prerequisite: MMAN2600 and MMAN2700 and (MMAN1300 or CVEN1300)                        | (MMAN2600 && MMAN2700 && (MMAN1300 || CVEN1300))
 AERO4110    | UG     | Prerequisite: AERO3110                                                                | (AERO3110)
 AERO4120    | UG     | Prerequisite: AERO4110                                                                | (AERO4110)
 AERO4500    | UG     |                                                                                       | 
 AERO4620    | UG     | Prerequisite: AERO3660 and MMAN3200                                                   | (AERO3660 && MMAN3200)
 AERO9500    | UG     |                                                                                       | 
 AERO9610    | UG     |                                                                                       | 
 ANAT1521    | UG     | Prerequisite: BABS1201                                                                | (BABS1201)
 ANAT2111    | UG     | Prerequisites: A pass in BABS1201 plus either a pass in ANAT2241 or BABS1202 or BABS2 | (BABS1201 && (ANAT2241 || BABS1202 || BABS2202 || BABS2204 || BIOC2201 || BIOC2291 ||
 ANAT2241    | UG     | Prerequisite: BABS1201, Minimum Program WAM 55                                        | (BABS1201 && PROGRAM_WAM_55)
 ANAT2341    | UG     | Prerequisite ANAT2241 or BABS2202                                                     | (ANAT2241 || BABS2202)
 ANAT2451    | UG     | Prerequisites:  ANAT1551 or ANAT2111                                                  | (ANAT1551 || ANAT2111)
 ANAT2511    | UG     |                                                                                       | 
 ANAT2521    | UG     |                                                                                       | 
 ANAT3121    | UG     | Prerequisite: ANAT2111 or ANAT1521 or a minimum of a credit in ANAT2511 or ANAT1551   | (ANAT2111 || ANAT1521 || ANAT2511{CR} || ANAT1551)
 ANAT3131    | UG     | Prerequisite: ANAT2111 or ANAT1521 or a minimum of a credit in ANAT2511 or ANAT1551   | (ANAT2111 || ANAT1521 || ANAT2511{CR} || ANAT1551)
 ANAT3141    | UG     | Prerequisite: ANAT2111 or ANAT1521 or a minimum of a credit in ANAT2511 or ANAT1551   | (ANAT2111 || ANAT1521 || ANAT2511{CR} || ANAT1551)
 ANAT3212    | UG     | Prerequisite ANAT2241 or BABS2202                                                     | (ANAT2241 || BABS2202)
 ANAT3231    | UG     | Prerequisite:ANAT2241                                                                 | (ANAT2241)
 ANAT3411    | UG     | Prerequisite: ANAT1521 or a minimum of a credit in ANAT2111 or  ANAT2511 or ANAT1551  | (ANAT1521 || ANAT2111{CR} || ANAT2511 || ANAT1551)
 ARCH0006    | UG     |                                                                                       | 
 ARCH1080    | UG     |                                                                                       | 
 ARCH1101    | UG     |                                                                                       | 
 ARCH1102    | UG     | Prerequisite: ARCH1101                                                                | (ARCH1101)
 ARCH1121    | UG     |                                                                                       | 
 ARCH1142    | UG     |                                                                                       | 
 ARCH1161    | UG     |                                                                                       | 
 ARCH1162    | UG     |                                                                                       | 
 ARCH1201    | UG     | Prequisite: ARCH1101 and ARCH1102 or ARCH1390                                         | ((ARCH1101 && ARCH1102) || ARCH1390)
 ARCH1202    | UG     | Prerequisite: ARCH1201                                                                | (ARCH1201)
 ARCH1222    | UG     |                                                                                       | 
 ARCH1261    | UG     | Prerequisite: ARCH1162                                                                | (ARCH1162)
 ARCH1301    | UG     | Prerequisite:  ARCH1202;                                                              | (ARCH1202)
 ARCH1302    | UG     | Prerequisite: ARCH1202, ARCH1301                                                      | (ARCH1202 && ARCH1301)
 ARCH1311    | UG     |                                                                                       | 
 ARCH1322    | UG     |                                                                                       | 
 ARCH1331    | UG     |                                                                                       | 
 ARCH1361    | UG     | Prerequisite: ARCH1161.                                                               | (ARCH1161)
 ARCH1390    | UG     | Prerequisite: ARCH1101                                                                | (ARCH1101)
 ARCH1391    | UG     | Prerequisite: ARCH1201 and ARCH1390                                                   | (ARCH1201 && ARCH1390)
 ARCH1392    | UG     | Prerequisite: ARCH1391 and ARCH1201                                                   | (ARCH1391 && ARCH1201)
 ARCH1393    | UG     | Prerequisite: ARCH1391 and ARCH1392                                                   | (ARCH1391 && ARCH1392)
 ARCH1394    | UG     |                                                                                       | 
 ARCH1395    | UG     | Prerequisite: ARCH1394, ARCH1384                                                      | (ARCH1394 && ARCH1384)
 ARCH1481    | UG     |                                                                                       | 
 ARCH1482    | UG     |                                                                                       | 
 ARCH1483    | UG     |                                                                                       | 
 ARCH1495    | UG     |                                                                                       | 
 ARCH1496    | UG     |                                                                                       | 
 ARTS1010    | UG     |                                                                                       | 
 ARTS1030    | UG     |                                                                                       | 
 ARTS1031    | UG     |                                                                                       | 
 ARTS1032    | UG     |                                                                                       | 
 ARTS1060    | UG     |                                                                                       | 
 ARTS1062    | UG     |                                                                                       | 
 ARTS1090    | UG     |                                                                                       | 
 ARTS1091    | UG     |                                                                                       | 
 ARTS1120    | UG     |                                                                                       | 
 ARTS1121    | UG     |                                                                                       | 
 ARTS1190    | UG     |                                                                                       | 
 ARTS1210    | UG     |                                                                                       | 
 ARTS1211    | UG     |                                                                                       | 
 ARTS1240    | UG     |                                                                                       | 
 ARTS1241    | UG     |                                                                                       | 
 ARTS1270    | UG     |                                                                                       | 
 ARTS1271    | UG     |                                                                                       | 
 ARTS1360    | UG     |                                                                                       | 
 ARTS1361    | UG     |                                                                                       | 
 ARTS1450    | UG     |                                                                                       | 
 ARTS1451    | UG     | Prerequisite: ARTS1450                                                                | (ARTS1450)
 ARTS1452    | UG     |                                                                                       | 
 ARTS1453    | UG     | Prerequisite: ARTS1452                                                                | (ARTS1452)
 ARTS1480    | UG     |                                                                                       | 
 ARTS1481    | UG     | Prerequisite: ARTS1480 or FREN1101;                                                   | (ARTS1480 || FREN1101)
 ARTS1510    | UG     |                                                                                       | 
 ARTS1511    | UG     | Prerequisite: ARTS1510 or GERS1400                                                    | (ARTS1510 || GERS1400)
 ARTS1540    | UG     |                                                                                       | 
 ARTS1541    | UG     | Prerequisite: ARTS1540 or GREK1301 or GREK1001                                        | (ARTS1540 || GREK1301 || GREK1001)
 ARTS1570    | UG     |                                                                                       | 
 ARTS1571    | UG     | Prerequisite: ARTS1570 or SPAN1001                                                    | (ARTS1570 || SPAN1001)
 ARTS1620    | UG     |                                                                                       | 
 ARTS1621    | UG     | Prerequisite: ARTS1620                                                                | (ARTS1620)
 ARTS1630    | UG     |                                                                                       | 
 ARTS1631    | UG     | Prerequisite: ARTS1630 or ARTS1632                                                    | (ARTS1630 || ARTS1632)
 ARTS1660    | UG     |                                                                                       | 
 ARTS1661    | UG     | Prerequisite: ARTS1660 or KORE1000                                                    | (ARTS1660 || KORE1000)
 ARTS1690    | UG     |                                                                                       | 
 ARTS1691    | UG     |                                                                                       | 
 ARTS1750    | UG     |                                                                                       | 
 ARTS1752    | UG     |                                                                                       | 
 ARTS1780    | UG     |                                                                                       | 
 ARTS1781    | UG     |                                                                                       | 
 ARTS1810    | UG     |                                                                                       | 
 ARTS1811    | UG     |                                                                                       | 
 ARTS1840    | UG     |                                                                                       | 
 ARTS1844    | UG     |                                                                                       | 
 ARTS1870    | UG     |                                                                                       | 
 ARTS1871    | UG     |                                                                                       | 
